author,content
"
吾心安处打个盹儿
","


隔壁老王上午挂了（墨翡）据说，这是目前排名第一的《幽默微小说》一位父亲哄着他3岁的女儿入睡，给她讲了个故事之后，听她的睡前祷告：“上帝保佑妈妈，保佑爸爸，保佑外婆，再见外公。”这位父亲就问：“你为何要说再见外公？”小女孩说：“我也不知道，爸爸。我只觉得应该这样做。”第二天外公死了。那位父亲觉得这是一个奇怪的巧合。几个月后，父亲再次哄着女儿入睡，听着她的睡前祷告：“上帝保佑妈妈，保佑爸爸，再见外婆。”第二天外婆死了。父亲吃惊了：“这个孩子竟然能预知生死！”几周
…
查看全文"
"
带翅膀的老司机
","


我两岁的时候，有一次我爸带我出去玩。天黑了我骑我爸脖子上，突然窜出两条狗，怎么都赶不走还对我们狂叫，我爸想找东西赶走狗。四处张望却找不到，突然感觉脖子上好像有什么东西，然后就把我扔出去砸狗了。

"
"
花七七…
","


周末，女儿捣乱，企图翻天，爱人对其教育无果，做气愤状逗她：“你就气我吧!把我气跑了，到时候你爸爸给你找个后妈!”女儿听到这里，做义愤填膺状对爱人激动地说：“妈妈，你别胡说，你不许这么说爸爸!”我内心一阵温暖，紧接着我女儿说：“他找不着!”

"
"
再见单身狗
","


来的有点早，我哥还没出发去他岳父家，嫂子打开冰箱拿出粽子：来，先吃粽子哈！并且顺便撕开了包粽子的叶子……我都惊呆了！：不得煮一下，再吃吗？嫂子：我都吃了30多年了，这玩意还用煮？虽然这是我第一次吃粽子味的冰疙瘩，口感还是蛮不错的😄

"
"
我不做人啦JOJO…
","


长这么大了，恐高症还是克服不了。小时候梦见自己变成奥特曼了也只敢贴着地面飞，怪兽不是被我打死的，是被我笑死的。

"
"
狐小乔
","


去练车，正好遇上沙尘天气。驾校车少人多，大家在背风的角落等着，旁边一男一女在闲聊：小姐姐，你报名这个驾校花多少钱？女生说：好像八百多，我记不清了。男孩跳起来：不可能！这么便宜？我花4500元报名费？我得找驾校理论理论……这时，新来的女教练过来了，冲着那女孩说：曼姐，咱们驾校指定的修车地方在哪？我的学员把档把掰断了。男孩惊讶地问：教练，这些事你问她？女教练说：当然了，她可是咱驾校的“元老”，听说2009年就报名了，只是一直没考过，所以驾校的大事小情，没有她不知道的……

"
"
花七七…
","


去楼下小店买糖，我问老板“有没有珠穆朗玛？”我和他都沉默了几秒，我意识到了不对又问“有没有喜马拉雅？”老板想了想，问我“你是不是要买阿尔卑斯？！”

"
"
天然呆。oO
","


老公骑车从家里那边过来，两个小时的车程，没戴护袖，太阳特毒，晒得手臂脱了层皮。孩子上学，老公去送。他看了看脱了皮的手臂说，我戴个护袖吧。我嘀咕了句:两个小时不戴，几分钟的事还戴。。

"
"
上凹下凸
","


侄女问我：为什么“老母”是母亲的意思，而“老公”却是丈夫的意思？公母不是一对吗？我说：废话！比如“师公”是你老师的爹，“师母”是你老师的老婆！能成一对吗？

"
"
拈花··染轻烟う
","


昨天去女友家过节，客厅里女友的奶奶在低头摆弄着手机。为了表达我的真诚祝福，我急忙跪下来磕头: 奶奶高寿，端午安康啊！奶奶猛然抬头，光着脚丫蹭的跳到沙发上，睁大眼睛:  姐夫，这可使不得啊！我不就染了个奶奶灰么，当不得你这样跪拜啊！我-擦！现在初中生都流行奶奶装了么？

"
"
狐小乔
","


又是高考季。去年，高考结束后，有一天，老师通知可以查高考成绩了，表弟就上网查了成绩。旁边的舅妈着急地问：这次高考多少分？比去年高考成绩提高了吗？表弟刚要说话，舅舅马上阻止：稍等！然后他转过身，把右耳朵凑了过去，你说吧。舅妈奇怪地问：你这是干什么？舅舅：右耳朵离心脏远一点……

"
"
一脸，美人痣。
","


上午和师兄聊天，他得意的说：“找个女朋友其实不难，只要去追刚刚失恋的就好了。失恋后的女孩最柔弱、最孤独，这时候很容易迷迷糊糊就答应了。”下午和师姐聊天，她得意的说：“找个男朋友其实很容易，只要说刚刚失恋就好了。然后男生就都来了。”

"
"
三年一班扛把子
","


汽油:原油降价我不降，我跟原油不一样原油涨价我就涨，原油对我有影响[笑哭]

"
"
带翅膀的老司机
","


女孩被甩，去酒吧借酒消愁，喝多的她，跑到外面扶着台车就吐得昏天暗地。 这时，过来一个特别帅的男人，并且递给她一张纸巾。 女孩心里一暖，激动的说：“谢谢你，我没事的！” 帅男人说：“这是我的车，希望你给我擦干净，擦不干净就赔钱。”

"
"
余生安稳即可
","


同事上班闲暇空隙低头玩手机游戏，刚好被领导看到，领导说：要不要再给你搬个沙发，搞点零食水果饮料。同事也不知道怎么回事，头都不抬，脑子一抽，反问一句：真的可以吗？然后，同事签了一张50块钱的罚款单+打扫男女厕所一个星期。

"
"
你不懂蛋蛋的忧伤
","


今天早.上我跟我妈说:早饭只吃粽子吗?会不会太普通了。我爸说:你要是想不普通，你可以去投江。我:。。。

"
"
再见单身狗
","


为了他，我买了各种道具服，让他体验一把王者的荣耀这货翻牌子的时候居然来了一句：翻来翻去的怎么还是换汤不换药啊？当时我就让他医院换了一次跌打损伤药唉，像我这么善解人意的贤内助已经不多了

"
"
狐小乔
","


假期前，连续加了几天班，累得整个人要散了架。回去以后发现男朋友打麻将去了，饭也没吃，倒头就睡了。不知道过了多久，在男朋友的咆哮声中，我睁开惺忪的睡眼，被眼前的一切惊呆了：家里进了小.偷，除了我和床，搬得也就剩承重墙了。男友一把把我拎起来：你快好好看看，你被那啥了没有！

"
"
天然呆。oO
","


准备去打疫苗，找不到地方，一路问过去，(谢谢那些热心的指路人们！)到达地点，由于周末，人家休息，只得回去。把车调头，发现坏事了，回去的路在何方？(绕了太多的路)得，又一路问回去了。。。

"
"
上凹下凸
","


无意间发现老妈给我和我老婆，还有我两个孩子的号码备注：我是一号猪，我老婆是二号猪，两个孩子，一个是二代猪一号，一个是二代猪二号……

"
"
逍遥花落人不知
","


每年过了十一国庆节后，我都发誓接下来没有假期了我要好好赚钱过年了。后来也不知是谁发明了双11，双12，于是每到元旦时就发现这1年又白干了[捂脸]

"
"
叶落紫枫
","


闺蜜在我房间换衣服不拉窗帘，我提醒她，她说：这是你的房间，别人看到也只会认为是你啊！

"
"
带翅膀的老司机
","


部门一起去聚餐，期间蹲坑上厕所，然后就听见隔壁隔板怎么有女生咳嗽！！这是男厕所啊！我哼歌哼了一半也闭嘴了。然后部门一姑娘给我发消息“怎么办？？我好像进错厕所了...”我回她“我旁边不会是你吧？？哈哈哈哈哈哈”然后我就疯狂逗她，还大喊她名字，她怕尴尬不能发出声音，就使劲锤隔板让我闭嘴哈哈哈哈哈。...结果出来后发现我走错了。

"
"
胖香
","


又到端午节，昨天我妈说去家后边芦苇荡整点柴叶包粽子，我说我也去，我妈摆摆手:“你可别来了，前年刚进去陷里面去了，我回来喊了好几个邻居才把你拔出来。去年找块门板踩着进去，三分钟没有你摸到了蛇，嗷一嗓子把李小飞吓的差点尿裤子，追你着你打了半天，今年你还想去整啥事？”

"
"
南九
","


今天老赵儿子高考。咯咯咯……我陪老赵两口子去给孩子加油，临进考场，老赵在后面喊:儿子，加油！争取答100分啊！嫂子听了一把揪住老赵的耳朵，一边打他一边说:满分150！满分150！不是100！不是100……

"
author,content
"
带翅膀的老司机
","


他是学霸班长，我是经常被老师批评的学渣。后来我们毕业了，经过在社会上的几年闯荡，现在，我坐在办公桌旁，曾经的学霸则乖乖地候在门外，看我的脸色行事。我都懒得看他一眼，不耐烦地说道：“请出示你的停车证，本小区不许外来车辆进入！”只听见学霸不屑的说：这里的住户找我谈一笔大生意，耽搁了你负责的起吗？然后扬长而去，伴随着悠长的扩音器声，回收旧彩电，冰箱空调洗衣机电饭煲高压锅。

"
"
天热打鼓球
","


有时候，有些话一定要理解清楚了再回答！三天前的一个晚上，刚冲完凉出来，就看着老婆拿着我的行驶证叹息道：这人也是怪，你说你吧，以前没买车，天天想开车，现在自己有车了，却说开车累，好多天也不见你开一次。我想都没想就随口答道：那辆破车开几年了，有啥意思，等我有钱了，换辆新车，你看我不天天

"
"
拈花··染轻烟う
","


昨天去女友家过节，客厅里女友的奶奶在低头摆弄着手机。为了表达我的真诚祝福，我急忙跪下来磕头: 奶奶高寿，端午安康啊！奶奶猛然抬头，光着脚丫蹭的跳到沙发上，睁大眼睛:  姐夫，这可使不得啊！我不就染了个奶奶灰么，当不得你这样跪拜啊！我-擦！现在初中生都流行奶奶装了么？

"
"
骑着二哈啃黄瓜
","


楼上男女的贴身衣物老掉我们阳台，晦气的很，闺蜜一生气就丢斜下面阳台去了。。。10分钟后，物业保安拿些喇叭在楼下大喊:各位住户，高楼之间禁止玩击鼓传花。。。

"
"
再见单身狗
","


来的有点早，我哥还没出发去他岳父家，嫂子打开冰箱拿出粽子：来，先吃粽子哈！并且顺便撕开了包粽子的叶子……我都惊呆了！：不得煮一下，再吃吗？嫂子：我都吃了30多年了，这玩意还用煮？虽然这是我第一次吃粽子味的冰疙瘩，口感还是蛮不错的😄

"
"
骑着二哈啃黄瓜
","


闺蜜和一男同事业务关系工作互动非常多，被男同事老婆怀疑当了小three，被她老婆jing 告:你要不离他远点，我会让你后悔的。闺蜜害怕的要死，本就和这男同事没什么就很委屈，找我拿主意，我悠悠的就一句话:咬人的狗不会叫，你安心吧.怀着忐忑的心她就去睡觉了，而我则心里开始发狠准备明天下午替闺蜜出气。第二天刚上班不久，闺蜜冲到我办公室一脸懵说道:她这男同事满脸都是抓痕，问他咋么了，他说昨天他家宠物猫抓的，看到我走过去，他吓的离的我远远的。。。

"
"
一脸，美人痣。
","


上午和师兄聊天，他得意的说：“找个女朋友其实不难，只要去追刚刚失恋的就好了。失恋后的女孩最柔弱、最孤独，这时候很容易迷迷糊糊就答应了。”下午和师姐聊天，她得意的说：“找个男朋友其实很容易，只要说刚刚失恋就好了。然后男生就都来了。”

"
"
胖香
","


又到端午节，昨天我妈说去家后边芦苇荡整点柴叶包粽子，我说我也去，我妈摆摆手:“你可别来了，前年刚进去陷里面去了，我回来喊了好几个邻居才把你拔出来。去年找块门板踩着进去，三分钟没有你摸到了蛇，嗷一嗓子把李小飞吓的差点尿裤子，追你着你打了半天，今年你还想去整啥事？”

"
"
天然呆。oO
","


老公骑车从家里那边过来，两个小时的车程，没戴护袖，太阳特毒，晒得手臂脱了层皮。孩子上学，老公去送。他看了看脱了皮的手臂说，我戴个护袖吧。我嘀咕了句:两个小时不戴，几分钟的事还戴。。

"
"
你不懂蛋蛋的忧伤
","


今天早.上我跟我妈说:早饭只吃粽子吗?会不会太普通了。我爸说:你要是想不普通，你可以去投江。我:。。。

"
"
带翅膀的老司机
","


科目一时，我紧张的和教练说“你给我的书都没怎么看，这次恐怕要挂科了！”教练说“没事，不会的题就怎么怂就怎么选”

"
"
♀大轮明王♀
","


在万达集团上班，昨天晚上下班后女经理约我去她的出租屋里喝酒。刚到女经理的出租屋，突然听到敲门声。女经理大惊失色说：“不好，我爸来了！”我一脸不屑地说：“有我在，没有摆不平的事情，你去开门！”开门后一个中年男人，我立马走上去，有礼貌地说：“叔叔，您来得正好，把您女儿这个月的房租交了吧！”女经理在旁边，一直傻笑，中年男人也笑了说：“小伙子，可以啊，说谎脸不红不白的！”我心想，莫非被戳穿了，转头惊恐而看着女经理。女经理笑着说：“他是房东！”

"
"
倾心倾情%%
","


有个同事请吃饭问我去不去，我说不去了，她也说我不去为妙，但是得告诉她个理由她好给一起吃饭的人说，呃……我不知道编什么理由啊，她问：你以前没有遇到过这样的事么，以前怎么找的理由就怎么告诉 我呗！enenen……我：我真没遇到过这样的事，别人请我吃饭然后不让我去的，还让我想个不要去的理由……

"
"
吃了两碗又盛
","


高考第一天的考试即将结束，一个妈妈举着向日葵准备迎接她的孩子，向日葵的寓意是一举夺魁。旁边一大妈嫌弃地说:你怎么还举个黄花呢？多不吉利，孩子考试不得黄啊，，，，听了这话考生妈妈不干了，与大妈撕打起来，向日葵都干碎了

"
"
三年一班扛把子
","


汽油:原油降价我不降，我跟原油不一样原油涨价我就涨，原油对我有影响[笑哭]

"
"
爱上钓鱼的猫
","


媳妇因儿子学习成绩差，天天骂他，儿子产生逆反心理，母子关系很差。为了缓和矛盾，我找儿子谈话：妈妈一直是爱你的，从小都不舍得打你。儿子：我妈说打过我三次，你怎么说没打过我?我叹了口气：是打过三次，没打掉！

"
"
正版煮茶
","


小时候，表弟肚子痛，想呕呕不出来，我想了一招，用开塞露塞他嘴里，挤几滴进去。还别说，真管用，表弟吐了一地。不是因为开塞露好用，而是他后来听说开塞露是已经用过的...

"
"
天然呆。oO
","


一句话不割，一看宫斗剧就会想到我婆婆。。。

"
"
夏有凉风秋望月
","


听姥姥说，只要把鸡它翻到按在地上，拿着刀在鸡头面前画两条竖线，鸡就不会动了。早上突发奇想，想验证一下姥姥说的话。抓了一只奶奶用来下蛋的老母鸡，也画了两条竖线，发现那只鸡，只盯着我看了一小会儿，就站起来跑走了。想到姥姥肯定是骗我，气的我就拿起刀扔向鸡，居然砸到鸡上，还把脖子砍断了。刚好在外打麻将的奶奶回来做饭，看到地上的刀和鸡。那天我是含泪吃了两个鸡腿的

"
"
♀大轮明王♀
","


堂哥是个老光棍，他39岁时还没有老婆，后来媒人给介绍了个怀孕的。堂哥说不介意，俩人就结婚了。后来有次孩子生病，抽血化验的时候才发现孩子的血型跟堂哥一样，。进一步做DNA化验，结果惊人地发现：她是堂哥亲生孩子！堂哥一下子就懵了，其他人更懵了……

"
"
此处省约一万字
","


记得小时候家里有次煲鸡汤，我爹在锅里捞鸡爪吃，捞了半天，就捞出来一只，还有一只怎么也捞不出来，很是迷惑。我说:另一只被我吃掉了！我爹悻悻的说:哦，那这一只也归你！我说:为什么呀？这只你吃呀！我爹说:你听说过么？同一只鸡的两个鸡爪不能分开来两个人吃，这样两个人会吵架的！我:？？？原来，我爹小时候偶尔炖鸡，两只鸡爪都是爷爷吃的，从来没有别的人分享，所以，一家人一直都是和和睦睦的。如果有人想分吃一只，我爷爷就会用这个道理教育家人。最后，我爹说，你知道为什么现在世界上那么多纷争么？就是市场
…
查看全文"
"
笑一笑，放下
","


10岁的女儿抗议说，妈妈，你以后能早点回家不加班那么晚吗，别让爸爸照顾我了，他照顾的我都快能独立了……

"
"
狐小乔
","


假期前，连续加了几天班，累得整个人要散了架。回去以后发现男朋友打麻将去了，饭也没吃，倒头就睡了。不知道过了多久，在男朋友的咆哮声中，我睁开惺忪的睡眼，被眼前的一切惊呆了：家里进了小.偷，除了我和床，搬得也就剩承重墙了。男友一把把我拎起来：你快好好看看，你被那啥了没有！

"
"
糗友nOYkH8
","


两个阿姨在广场交流自己的闺女，一个阿姨一直说，我女儿在你女儿这么大都结婚了，我女儿在你女儿这么大都买了几十万的车，我女儿在你女儿这么大都有几十万存款……只听另一个阿姨说，你女儿在我女儿这么大都堕胎三次了，离婚两次了，被人家原配追到你家五次了……

"
"
就算有记忆
","


从前一农夫与寡妇打赌，到乱坟坡睡49天，那寡妇便嫁他为妻。农夫答应了，他带着小酒到坟头睡觉，却遇上一个丑妇。农夫疑是寡妇找来吓他的，便一点不惧，与她喝酒交谈。 农夫名叫陈康，永州icon人氏。村里人也叫他陈大胆，他就是个憨胆大，敢做一些别人不敢做的傻事，至于鬼怪异类，他从不相信。 陈大胆家中贫穷，大胆也没有什么用处，他年近四十，还没有娶媳妇。到了这般年龄，他也做好了打一辈子光棍的打算。 村里人喜欢拿他开涮，时常搞些事糊弄他，图大家有个乐子。 这天，大伙儿在坡上大地收麦子。一个年前
…
查看全文"
